id,name,nutritions,tags,ingredients,persons,time,url,image
0,Massaman curry,"[energie, 895 kcal, koolhydraten, 37 g, waarvan suikers, 15 g, natrium, 440 mg, eiwit, 47 g, vet, 61 g, waarvan verzadigd, 42 g, vezels, 5 g]","[lactosevrij, thais, aziatisch, curry, hoofdgerecht, koken]","[koelverse sereh citroengras, kokosmelk, water, laurierblad, steranijs, ribrunderlap, kardemompeulen, korianderzaad, komijnzaad, kruidnagel, witte peperkorrels, chilivlokken, gemalen kaneel, verse laoswortel (galangal), sjalot, knoflook, rode peper, zout, garnalenpasta in potje, water, vastkokende aardappel, zoete aardappel, zoete ui, tamarindepasta, vissaus, kokosbloesemsuiker, ongezouten pindas]",4,75,https://www.ah.nl/allerhande/recept/R-R1195789/massaman-curry,https://static.ah.nl/static/recepten/img_RAM_PRD156333_1024x748_JPG.jpg
1,Tartiflette,"[energie, 675 kcal, koolhydraten, 42 g, waarvan suikers, 4 g, natrium, 840 mg, eiwit, 25 g, vet, 43 g, waarvan verzadigd, 28 g, vezels, 4 g]","[glutenvrij, oven, frans, hoofdgerecht]","[vastkokende aardappel, middelgrote ui, reblochon (kaas), ongezouten roomboter, gerookt ontbijtspek, droge witte wijn, verse slagroom, knoflook]",6,40,https://www.ah.nl/allerhande/recept/R-R1195788/tartiflette,https://static.ah.nl/static/recepten/img_RAM_PRD156341_1024x748_JPG.jpg
2,Ajam pangang,"[energie, 515 kcal, koolhydraten, 16 g, waarvan suikers, 14 g, natrium, 1400 mg, eiwit, 34 g, vet, 35 g, waarvan verzadigd, 13 g, vezels, 1 g]","[oven, indonesisch, aziatisch, hoofdgerecht]","[limoen, scharrel kippenpoten naturel, zout, sjalot, knoflook, rode peper, witte peper, arachideolie, ongezouten roomboter, ketjap manis, water]",4,45,https://www.ah.nl/allerhande/recept/R-R1195786/ajam-pangang,https://static.ah.nl/static/recepten/img_RAM_PRD156326_1024x748_JPG.jpg
3,Bloemkoolschotel,"[energie, 765 kcal, koolhydraten, 48 g, waarvan suikers, 12 g, natrium, 560 mg, eiwit, 41 g, vet, 43 g, waarvan verzadigd, 26 g, vezels, 10 g]","[oven, hollands, hoofdgerecht, wat eten we vandaag]","[knoflook, bloemkool, ongezouten roomboter, fijngesneden prei, rundergehakt, tarwebloem, volle melk, belegen kaas, gemalen nootmuskaat, aardappelschijfjes]",4,25,https://www.ah.nl/allerhande/recept/R-R1195783/bloemkoolschotel,https://static.ah.nl/static/recepten/img_RAM_PRD156328_1024x748_JPG.jpg
4,Koe loe kai ,"[energie, 785 kcal, koolhydraten, 85 g, waarvan suikers, 37 g, natrium, 1320 mg, eiwit, 41 g, vet, 30 g, waarvan verzadigd, 6 g, vezels, 5 g]","[lactosevrij, chinees, aziatisch, hoofdgerecht, frituren]","[scharrel kipfilet, middelgroot ei, zout, sherry fino, middelgrote ui, knoflook, paprikamix, ananasschijven op sap, arachideolie, Heinz tomato frito, natuurazijn, maizena, frituurolie]",4,45,https://www.ah.nl/allerhande/recept/R-R1195778/koe-loe-kai,https://static.ah.nl/static/recepten/img_RAM_PRD156332_1024x748_JPG.jpg
5,Pasta pesto met kipstuckjes en tomatensalade,"[energie, 770 kcal, koolhydraten, 63 g, waarvan suikers, 9 g, natrium, 640 mg, eiwit, 31 g, vet, 42 g, waarvan verzadigd, 12 g, vezels, 8 g]","[vegetarisch, italiaans, pasta, hoofdgerecht, wat eten we vandaag, bakken]","[trostomaat, mozzarella, salade-ui, spaghetti, Vegetarische Slager kipstuckjes, milde olijfolie, balsamicoazijn, rucola slamelange, verse groene pesto]",4,20,https://www.ah.nl/allerhande/recept/R-R1195776/pasta-pesto-met-kipstuckjes-en-tomatensalade,https://static.ah.nl/static/recepten/img_RAM_PRD157032_1024x748_JPG.jpg
6,Hutspot met vegetarische rookworst en jus,"[energie, 535 kcal, koolhydraten, 64 g, waarvan suikers, 16 g, natrium, 1320 mg, eiwit, 15 g, vet, 21 g, waarvan verzadigd, 6 g, vezels, 15 g]","[vegetarisch, snel, hollands, stamppot, hoofdgerecht, wat eten we vandaag, koken]","[iets kruimige aardappel, hutspotgroente, Knorr groentebouillonblokje zero salt, Unox vegetarische rookworst, milde olijfolie, vega speckreepjes gerookt, water, Knorr mix voor jus met uitjes, milde mosterd]",4,1,https://www.ah.nl/allerhande/recept/R-R1195775/hutspot-met-vegetarische-rookworst-en-jus,https://static.ah.nl/static/recepten/img_RAM_PRD157029_1024x748_JPG.jpg
7,Zoete aardappelstamppot met spruiten en vega gehacktbal,"[energie, 595 kcal, koolhydraten, 70 g, waarvan suikers, 18 g, natrium, 1360 mg, eiwit, 26 g, vet, 19 g, waarvan verzadigd, 6 g, vezels, 19 g]","[vegetarisch, hollands, stamppot, hoofdgerecht, wat eten we vandaag, koken, 5-ingrediënten]","[spruitjes, zoete aardappel, water, Knorr groentebouillonblokje zero salt, Vegetarische Slager gehacktbal, zongedroogde tomaten in pot]",4,35,https://www.ah.nl/allerhande/recept/R-R1195774/zoete-aardappelstamppot-met-spruiten-en-vega-gehacktbal,https://static.ah.nl/static/recepten/img_RAM_PRD157035_1024x748_JPG.jpg
8,Kapsalon met&nbsp;vegetarische&nbsp;kipshoarma en salade,"[energie, 505 kcal, koolhydraten, 35 g, waarvan suikers, 6 g, natrium, 880 mg, eiwit, 29 g, vet, 25 g, waarvan verzadigd, 6 g, vezels, 12 g]","[vegetarisch, oven, hollands, hoofdgerecht]","[milde olijfolie, koelverse aardappelschijfjes, koelverse vegan shoarma, geraspte kaas voor pizza, komkommer, cherrytomaten, fijngesneden ijsbergsla, Calvé knoflooksaus]",4,25,https://www.ah.nl/allerhande/recept/R-R1195773/kapsalon-met-vegetarische-kipshoarma-en-salade,https://static.ah.nl/static/recepten/img_RAM_PRD157030_1024x748_JPG.jpg
9,Gebakken krieltjes met broccoli en vegetarische bratwurst,"[energie, 535 kcal, koolhydraten, 56 g, waarvan suikers, 3 g, natrium, 800 mg, eiwit, 23 g, vet, 22 g, waarvan verzadigd, 7 g, vezels, 11 g]","[vegetarisch, hollands, hoofdgerecht, wat eten we vandaag, bakken]","[verse krieltjes, knoflookboter, broccoli, milde olijfolie, Vegetarische Slager bratwurst, champignons, verse peterselie, Knorr mix voor champignonsaus, water]",4,25,https://www.ah.nl/allerhande/recept/R-R1195772/gebakken-krieltjes-met-broccoli-en-vegetarische-bratwurst,https://static.ah.nl/static/recepten/img_RAM_PRD157027_1024x748_JPG.jpg
