,name,nutritions,tags,Ingredients,persons,time,url,image
0,Tartiflette,"['energie', '675 kcal', 'koolhydraten', '42 g', 'waarvan suikers', '4 g', 'natrium', '840 mg', 'eiwit', '25 g', 'vet', '43 g', 'waarvan verzadigd', '28 g', 'vezels', '4 g']","['glutenvrij', 'oven', 'frans', 'hoofdgerecht']","['middelgrote ui', 'reblochon (kaas)', 'ongezouten roomboter', 'gerookt ontbijtspek', 'droge witte wijn', 'verse slagroom', 'knoflook']",6,40,https://www.ah.nl/allerhande/recept/R-R1195788/tartiflette,https://static.ah.nl/static/recepten/img_RAM_PRD156341_1024x748_JPG.jpg
1,Ajam pangang,"['energie', '515 kcal', 'koolhydraten', '16 g', 'waarvan suikers', '14 g', 'natrium', '1400 mg', 'eiwit', '34 g', 'vet', '35 g', 'waarvan verzadigd', '13 g', 'vezels', '1 g']","['oven', 'indonesisch', 'aziatisch', 'hoofdgerecht']","['scharrel kippenpoten naturel', 'zout', 'sjalot', 'knoflook', 'rode peper', 'witte peper', 'arachideolie', 'ongezouten roomboter', 'ketjap manis', 'water']",4,45,https://www.ah.nl/allerhande/recept/R-R1195786/ajam-pangang,https://static.ah.nl/static/recepten/img_RAM_PRD156326_1024x748_JPG.jpg
2,Bloemkoolschotel,"['energie', '765 kcal', 'koolhydraten', '48 g', 'waarvan suikers', '12 g', 'natrium', '560 mg', 'eiwit', '41 g', 'vet', '43 g', 'waarvan verzadigd', '26 g', 'vezels', '10 g']","['oven', 'hollands', 'hoofdgerecht']","['bloemkool', 'ongezouten roomboter', 'fijngesneden prei', 'rundergehakt', 'tarwebloem', 'volle melk', 'belegen kaas', 'gemalen nootmuskaat', 'aardappelschijfjes']",4,25,https://www.ah.nl/allerhande/recept/R-R1195783/bloemkoolschotel,https://static.ah.nl/static/recepten/img_RAM_PRD156328_1024x748_JPG.jpg
3,'Kapsalon' met&nbsp;vegetarische&nbsp;kipshoarma en salade,"['energie', '505 kcal', 'koolhydraten', '35 g', 'waarvan suikers', '6 g', 'natrium', '880 mg', 'eiwit', '29 g', 'vet', '25 g', 'waarvan verzadigd', '6 g', 'vezels', '12 g']","['vegetarisch', 'oven', 'hollands', 'hoofdgerecht']","['koelverse aardappelschijfjes', 'koelverse vegan shoarma', 'geraspte kaas voor pizza', 'komkommer', 'cherrytomaten', 'fijngesneden ijsbergsla', 'Calvé knoflooksaus']",4,25,https://www.ah.nl/allerhande/recept/R-R1195773/kapsalon-met-vegetarische-kipshoarma-en-salade,https://static.ah.nl/static/recepten/img_RAM_PRD157030_1024x748_JPG.jpg
4,"Couscous met kip, bospeen en cranberrysaus","['energie', '635 kcal', 'koolhydraten', '72 g', 'waarvan suikers', '20 g', 'natrium', '240 mg', 'eiwit', '29 g', 'vet', '24 g', 'waarvan verzadigd', '5 g', 'vezels', '7 g']","['budget', 'oven', 'couscous', 'hoofdgerecht']","['rode ui', 'kipdijfilet', 'perssinaasappel', 'zonnebloemolie', 'cranberrysaus', 'couscous', 'verse peterselie']",4,15,https://www.ah.nl/allerhande/recept/R-R1195764/couscous-met-kip-bospeen-en-cranberrysaus,https://static.ah.nl/static/recepten/img_RAM_PRD156352_1024x748_JPG.jpg
5,Lekkerbekje met aardappel en groente uit de oven,"['energie', '715 kcal', 'koolhydraten', '71 g', 'waarvan suikers', '4 g', 'natrium', '800 mg', 'eiwit', '27 g', 'vet', '34 g', 'waarvan verzadigd', '5 g', 'vezels', '9 g']","['oven', 'hoofdgerecht']","['arachideolie', 'diepvries lekkerbekje', 'Italiaanse roerbakmix cavolo nero', 'gesneden kastanjechampignons', 'koelverse pestospread']",4,10,https://www.ah.nl/allerhande/recept/R-R1195763/lekkerbekje-met-aardappel-en-groente-uit-de-oven,https://static.ah.nl/static/recepten/img_RAM_PRD156354_1024x748_JPG.jpg
6,Chicken pot pie,"['energie', '350 kcal', 'koolhydraten', '29 g', 'waarvan suikers', '6 g', 'natrium', '560 mg', 'eiwit', '31 g', 'vet', '11 g', 'waarvan verzadigd', '5 g', 'vezels', '6 g']","['slank', 'oven', 'hoofdgerecht']","['groentebouillontablet', 'scharrelkipfilet', 'middelgrote ui', 'prei', 'winterpeen', 'champignons', 'verse tijm', 'verse platte peterselie', 'milde olijfolie', 'ongezouten roomboter', 'bloem', 'middelgroot ei', 'diepvries deeg voor hartige taart']",4,30,https://www.ah.nl/allerhande/recept/R-R1195742/chicken-pot-pie,https://static.ah.nl/static/recepten/img_RAM_PRD156240_1024x748_JPG.jpg
7,Eenpans-paddenstoelenstoof met deegballetjes,"['energie', '470 kcal', 'koolhydraten', '39 g', 'waarvan suikers', '6 g', 'natrium', '760 mg', 'eiwit', '10 g', 'vet', '28 g', 'waarvan verzadigd', '16 g', 'vezels', '4 g']","['vegetarisch', 'oven', 'hoofdgerecht']","['knoflook', 'paddenstoelen voor pasta', 'kastanjechampignon', 'milde olijfolie', 'ongezouten roomboter', 'bloem', 'rode wijn', 'water', 'groentebouillontablet', 'zelfrijzend bakmeel']",4,30,https://www.ah.nl/allerhande/recept/R-R1195722/eenpans-paddenstoelenstoof-met-deegballetjes,https://static.ah.nl/static/recepten/img_RAM_PRD156242_1024x748_JPG.jpg
8,Portobellosteaks met aardappelpuree,"['energie', '695 kcal', 'koolhydraten', '53 g', 'waarvan suikers', '10 g', 'natrium', '200 mg', 'eiwit', '11 g', 'vet', '47 g', 'waarvan verzadigd', '11 g', 'vezels', '8 g']","['vegetarisch', 'glutenvrij', 'oven', 'hoofdgerecht']","['rode ui', 'korianderzaad', 'knoflook', 'zoet gerookt paprikapoeder', 'ketchup', 'milde olijfolie', 'kruimige aardappel', 'melk', 'ongezouten roomboter', 'rucola']",4,35,https://www.ah.nl/allerhande/recept/R-R1195721/portobellosteaks-met-aardappelpuree,https://static.ah.nl/static/recepten/img_RAM_PRD156262_1024x748_JPG.jpg
9,Broodje pulled paddo's met barbecuesaus en knolselderijsalade,"['energie', '390 kcal', 'koolhydraten', '53 g', 'waarvan suikers', '11 g', 'natrium', '880 mg', 'eiwit', '14 g', 'vet', '12 g', 'waarvan verzadigd', '3 g', 'vezels', '8 g']","['vegetarisch', 'slank', 'oven', 'hoofdgerecht']","['barbecuesaus', 'citroen', 'knolselderij', 'verse bieslook', 'wittewijnazijn', 'dijonmosterd', 'milde olijfolie', 'crème fraîche', 'bakkersbol wit']",4,25,https://www.ah.nl/allerhande/recept/R-R1195720/broodje-pulled-paddo-s-met-barbecuesaus-en-knolselderijsalade,https://static.ah.nl/static/recepten/img_RAM_PRD156237_1024x748_JPG.jpg
